,name,cname,symbol
10510,FRANKLIN DISRUPTIVE COMMERCE ETF,FRANKLIN DISRUPTIVE COMMERCE ETF,BUYZ
10511,VANECK VECTORS SOCIAL SENTIMENT,VANECK VECTORS SOCIAL SENTIMENT,BUZZ
10512,BiondVax Pharmaceuticals Ltd.,BiondVax Pharmaceuticals Ltd.,BVXVW
10513,BETTER WORLD ACQUISITION CORP C,BETTER WORLD ACQUISITION CORP C,BWACW
10514,Boxwood Merger Corp.,Boxwood Merger Corp.,BWMCW
10515,BABCOCK &#38; WILCOX ENTERPRISE,BABCOCK &#38; WILCOX ENTERPRISE,BWSN
10516,"Baudax Bio, Inc.","Baudax Bio, Inc.",BXRXV
10517,BYTE Acquisition Corp.,BYTE Acquisition Corp.,BYTSW
10518,iPath Pure Beta Coffee ETN,iPath Pure Beta Coffee ETN,CAFE
10519,"CACHET FINANCIAL SOLUTIONS, INC","CACHET FINANCIAL SOLUTIONS, INC",CAFN
10520,CA HEALTHCARE ACQUISITION CORP ,CA HEALTHCARE ACQUISITION CORP ,CAHCW
10521,HighCape Capital Acquisition Corp.,HighCape Capital Acquisition Corp.,CAPAU
10522,HIGHCAPE CAP ACQUISITION CORP C,HIGHCAPE CAP ACQUISITION CORP C,CAPAW
10523,"Capnia, Inc. - Series A Warrant","Capnia, Inc. - Series A Warrant",CAPNW
10524,Elkhorn S&amp;P 500 Capital Expenditures Portfolio,Elkhorn S&amp;P 500 Capital Expenditures Portfolio,CAPX
10525,Cathay General Bancorp,国泰万通金控,CATYW
10526,CHANGEBRIDGE CAPITAL LONG SHORT,CHANGEBRIDGE CAPITAL LONG SHORT,CBLS
10527,CombiMatrix Corporation - Warrants 5/01/2014,CombiMatrix Corporation - Warrants 5/01/2014,CBMXW
10528,CBO (Listing Market - NYSE - Networks A/E),CBO (Listing Market - NYSE - Networks A/E),CBO
10529,CHANGEBRIDGE CAPITAL SUSTAINABL,CHANGEBRIDGE CAPITAL SUSTAINABL,CBSE
10530,CABOT GROWTH ETF,CABOT GROWTH ETF,CBTG
10531,CBX (Listing Market NYSE Networks AE),CBX (Listing Market NYSE Networks AE),CBX
10532,CNB Financial Corp. (Pennsylvania),CNB Financial Corp. (Pennsylvania),CCNEP
10533,CardConnect Corp. - Warrants,CardConnect Corp. - Warrants,CCNWW
10534,Direxion Connected Consumer ETF,Direxion Connected Consumer ETF,CCON
